Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1E4E_Clean_8a_uff_E=1458.74,-9.4,0.0,0.0
1E4E_Clean_8a_uff_E=1458.74,-9.4,6.665,3.276
1E4E_Clean_8a_uff_E=1458.74,-9.4,6.655,3.272
1E4E_Clean_8a_uff_E=1458.74,-9.1,7.315,4.752
1E4E_Clean_8a_uff_E=1458.74,-8.9,6.961,3.684
1E4E_Clean_8a_uff_E=1458.74,-8.7,7.312,3.331
1E4E_Clean_8a_uff_E=1458.74,-7.6,10.086,6.605
1E4E_Clean_8a_uff_E=1458.74,-7.4,9.338,5.574
1E4E_Clean_8a_uff_E=1458.74,-7.3,8.207,4.361
1E4E_Clean_Krempene_B_uff_E=1454.01,-9.3,0.0,0.0
1E4E_Clean_Krempene_B_uff_E=1454.01,-8.8,7.25,4.858
1E4E_Clean_Krempene_B_uff_E=1454.01,-8.6,8.096,2.242
1E4E_Clean_Krempene_B_uff_E=1454.01,-8.5,7.551,1.781
1E4E_Clean_Krempene_B_uff_E=1454.01,-8.2,9.962,5.116
1E4E_Clean_Krempene_B_uff_E=1454.01,-7.9,8.221,5.668
1E4E_Clean_Krempene_B_uff_E=1454.01,-7.7,4.645,2.218
1E4E_Clean_Krempene_B_uff_E=1454.01,-7.7,8.856,5.161
1E4E_Clean_Krempene_B_uff_E=1454.01,-7.4,3.036,1.622
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-9.2,0.0,0.0
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-8.8,7.346,4.928
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-8.6,6.88,2.951
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-7.9,6.117,3.996
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-7.9,7.302,4.982
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-7.8,10.067,5.927
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-7.8,6.877,1.833
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-7.6,7.393,3.076
1E4E_Clean_Sclerogroid_A_uff_E=1531.88,-7.6,7.672,3.952
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-9.7,0.0,0.0
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-9.4,6.408,3.378
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-9.4,7.224,2.796
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-9.2,7.086,2.04
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-8.6,3.113,1.714
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-8.1,8.113,3.53
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-8.1,6.745,1.942
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-8.1,6.994,2.634
1E4E_Clean_Sclerogroid_B_uff_E=1443.15,-8.0,4.338,2.291
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-9.6,0.0,0.0
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-9.5,7.117,2.909
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-9.4,7.113,2.888
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-9.3,3.053,1.267
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-9.3,7.117,2.95
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-8.9,6.924,2.924
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-7.4,7.532,2.97
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-7.4,3.628,1.946
1E4E_Clean_Sclerogroid_C_uff_E=1471.96,-7.4,3.58,1.65
